day,symbol,avg_entity_sentiment,avg_event_sentiment,avg_story_traffic,avg_event_relevance
2014-01-31T00:00:00.000-05,AAPL,11.1567,11.7507,171693013.5,68.16
2014-02-01T00:00:00.000-05,AAPL,20.49,21.55,15930846.8,72.81
2014-02-02T00:00:00.000-05,AAPL,26.7,26.75,34702486.5,45.55
2014-02-03T00:00:00.000-05,AAPL,3.4216,3.3298,55206654.39,71.3784
2014-02-04T00:00:00.000-05,AAPL,13.9896,14.6083,46579695.56,72.4688
2014-02-05T00:00:00.000-05,AAPL,0.6028,0.1644,106684710.3,76.6278
2014-02-06T00:00:00.000-05,AAPL,8.5629,8.3408,87413857,72.8758
2014-02-07T00:00:00.000-05,AAPL,11.2853,11.7273,57417906.43,70.3907
2014-02-08T00:00:00.000-05,AAPL,-7.1381,-7.269,356947346.6,77.8905
2014-02-09T00:00:00.000-05,AAPL,11.5,11.7256,576278840.2,80.9222
2014-02-10T00:00:00.000-05,AAPL,2.7907,2.5186,149004934,76.7767
2014-02-11T00:00:00.000-05,AAPL,9.0377,8.9725,140178948,76.1855
2014-02-12T00:00:00.000-05,AAPL,22.2596,21.8649,82092420.91,76.5877
2014-02-13T00:00:00.000-05,AAPL,18.6946,18.2559,109471717.2,84.2893
2014-02-14T00:00:00.000-05,AAPL,7.1318,8.2341,470675109.5,72.4023
2014-02-15T00:00:00.000-05,AAPL,10.9778,8.0556,210264845.1,78.2778
2014-02-16T00:00:00.000-05,AAPL,-32.7068,-32.0842,298570809.3,60.1411
2014-02-17T00:00:00.000-05,AAPL,-10.8265,-9.8426,103774437,75.3559
2014-02-18T00:00:00.000-05,AAPL,24.4814,24.2919,122656806.6,71.4837
2014-02-19T00:00:00.000-05,AAPL,7.1628,6.9923,2030272830,82.7115
2014-02-20T00:00:00.000-05,AAPL,-13.1302,-13.6342,29462497.3,82.2279
2014-02-21T00:00:00.000-05,AAPL,4.2941,3.9529,147430327.4,76.2255
2014-02-22T00:00:00.000-05,AAPL,-3.1053,-3.7184,391564043,80.6579
2014-02-23T00:00:00.000-05,AAPL,33.68,33.7267,452900905,76.58
2014-02-24T00:00:00.000-05,AAPL,13.2407,13.0262,104638284.3,70.826
2014-02-25T00:00:00.000-05,AAPL,2.2872,2.2043,65646601,68.9511
2014-02-26T00:00:00.000-05,AAPL,-3.95,-4.4033,196931705.8,74.8196
2014-02-27T00:00:00.000-05,AAPL,13.9935,14.2532,22883072.45,69.2065
2014-02-28T00:00:00.000-05,AAPL,11.6861,14.6681,24982025.06,71.6167
